Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Carbohydrate percentage of calories(%),Protein percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max
alex hellebrandt,STRENGTH_TRAINING,2026-05-02,11:58:01,01:03:57,,103,,,,,366,,,,,,,,,,,,brust,181.0,76.0,195,55,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W)
1,00:00:00,78,,,,,,,,
,00:00:01,77,,,,,,,,
,00:00:02,76,,,,,,,,
,00:00:03,76,,,,,,,,
,00:00:04,76,,,,,,,,
,00:00:05,75,,,,,,,,
,00:00:06,73,,,,,,,,
,00:00:07,73,,,,,,,,
,00:00:08,73,,,,,,,,
,00:00:09,74,,,,,,,,
,00:00:10,74,,,,,,,,
,00:00:11,77,,,,,,,,
,00:00:12,77,,,,,,,,
,00:00:13,78,,,,,,,,
,00:00:14,79,,,,,,,,
,00:00:15,80,,,,,,,,
,00:00:16,81,,,,,,,,
,00:00:17,81,,,,,,,,
,00:00:18,82,,,,,,,,
,00:00:19,82,,,,,,,,
,00:00:20,82,,,,,,,,
,00:00:21,82,,,,,,,,
,00:00:22,82,,,,,,,,
,00:00:23,82,,,,,,,,
,00:00:24,81,,,,,,,,
,00:00:25,81,,,,,,,,
,00:00:26,81,,,,,,,,
,00:00:27,81,,,,,,,,
,00:00:28,81,,,,,,,,
,00:00:29,81,,,,,,,,
,00:00:30,81,,,,,,,,
,00:00:31,78,,,,,,,,
,00:00:32,78,,,,,,,,
,00:00:33,78,,,,,,,,
,00:00:34,80,,,,,,,,
,00:00:35,81,,,,,,,,
,00:00:36,81,,,,,,,,
,00:00:37,81,,,,,,,,
,00:00:38,80,,,,,,,,
,00:00:39,79,,,,,,,,
